,anime_id,title,synopsis,genres,score,synopsis_word_count
4621,37149,Xing You Ji: Fengbao Famila,The second season of .,Adventure|Fantasy|Sci-Fi,,5
4629,51183,Yin Yang Shi: Ping An Wu Yu 3rd Season,The third season of .,Comedy|Slice of Life|Supernatural|Demons,,5
4631,51216,Xin Qin Shi Mingyue,Remaster of the first two seasons of .,Action|Fantasy|Historical|Martial Arts,,8
4632,49558,Shanhe Jian Xin 2nd Season,Second season of .,Action|Adventure|Fantasy|Historical|Martial Arts,,4
4639,28185,Oniku Daisuki! Zeushi-kun 2nd Season,Second season of series.,Comedy|Gourmet,,4
4641,45448,Dou Hun Wei Zhi Xuan Yue Qiyuan IV,Fourth season of .,Action|Fantasy,,4
4642,45042,Lengxue Kuang Yan,"Sequel film of , released online.",Action|Fantasy,,6
4643,50841,Mei Chuxi De Yinyangshi Yijia 3,The third season of .,Comedy|Slice of Life|Supernatural|Demons|Historical,,5
4647,50258,Tesla Note: Mickey to Oliver no Agent Yousei Kouza,shorts posted online and included in the series' Blu-ray BOX release.,Comedy,,11
4652,51196,Xing Hai Qishi: Xia Ban Ji,The second part of the first season of .,Action|Fantasy|Sci-Fi,,9
4656,39205,Oshamani,"Fashionable, hipster, and ironic--these gruff voiced kawaii characters star in a new web anime from Kamio Japan.",Kids,,17
4657,45615,Deep Sea Tentacle,Abstract short film by Kojirou Shishido featuring creatures in the ocean.,Avant Garde|Music,,11
4662,35574,Ganbare!! Tabuchi-kun!! (ONA),Animated shorts revolving around the titular character Tabuchi-kun.,Comedy|Sports|Seinen,,8
4664,49559,Quanzhi Gaoshou 3,Third season of .,Action|Game,,4
4679,50271,Hua Jianghu: Bu Liang Ren V,Fifth season of .,Drama|Fantasy|Romance|Historical|Martial Arts,,4
4684,42845,JMAF23th,Animated introduction for Japan Media Arts Festival 2019.,Music,,8
4689,42876,Chou Futsuu Toshi Kashiwa Densetsu: Kashiwa no Gotouji Yuru Anime,Original videos featuring the cast of that showcase local businesses in Kashiwa.,Comedy|Fantasy,,12
4696,38927,Koeda-chan Ohanashi,A stop-motion series of . This unique short uses the actual toys themselves to convey the story.,Kids,,17
4697,8258,Damen's Walker,"Damen is a coined word combining ""Dame (failed)"" and ""Men"". It's a collection of short stories about women's experiences with ""Damen (failed men like swindler, liar etc.)"".",Comedy|Romance,,27
4700,36724,Felix x Kamiusagi Rope,"A collaboration with , a Nestlé Purina brand cat food treat and the anime.",Comedy|Slice of Life,,14
4705,40205,Kabushikigaisha G-anime Saiyou Concept Movie,Promotional anime for the studio G-angle.,Slice of Life,,6
4707,35283,Kamiusagi Rope x ROPÉ Sisters,A collaboration between the anime franchise and a Japanese fashion brand for the brand's 50th anniversary of its three sister fashion lines.,Comedy,,22
4708,50407,Wu Shan Wu Xing (2020): Xichuan Huan Zi Lin,Second season of .,Action|Fantasy|Supernatural|Historical|Martial Arts,,4
4712,50405,Tian Bao Fuyao Lu 3rd Season,Third season of .,Action|Adventure|Fantasy|Supernatural|Historical,,4
4714,35008,Midori no Kuni no Otomodachi: Koeda-chan,Based on the Takara Tomy toy line.,Fantasy|Shoujo,,7
4715,36586,Kinyoubi no Yakusoku,A promotional video for the Miyagi Cooperative delivery service.,Drama,,9
4717,34699,Sukui Agete Kurenai ka,A short story about whether or not a person can scoop up a goldfish from a carnival game.,Slice of Life,,18
4720,50292,Shouji Li de Huanxiong Xiao Zhen 2nd Season,The second season of,Comedy|Slice of Life|Kids,,4
4721,42319,Mei Chuxi de Yinyangshi Yijia 2,Second season of .,Comedy|Slice of Life|Supernatural|Demons|Historical,,4
4722,47621,Ruguo Lishi Shi Yiqun Miao 2nd Season,Second season of .,Comedy|Historical|Kids,,4
4741,48867,Shaonian Baima Zui Chunfeng,The story takes place twenty years before .,Action|Fantasy|Historical|Martial Arts,,8
4743,40437,Mono no Kamisama Cocotama,"New series, to be streamed on YouTube channel.",Fantasy|Slice of Life|Kids,,8
4754,51039,Doupo Cangqiong: Nian Fan,Fifth season of .,Action|Adventure|Fantasy|Martial Arts,,4
4755,36883,Wares: Beyond,A promotional anime for the novel of the same name. It debuted during the live stream event.,Mecha,,17
4756,32254,Ijigen Gattai Mojibakeru Z,A promotional anime for the Ijigen Gattai Mojibakeru Z toy line from Bandai.,Game|Kids,,13
4757,49112,Amemiya-san,New anime shorts posted on Keiichi Arawi's YouTube channel about the titular Amemiya-san.,Comedy,,13
4761,37017,Kensaku to Enjin no ABC Days,Short educational videos teaching children English words.,Kids,,7
4762,48866,Hua Jianghu: Huan Shi Men Sheng 2nd Season,Second season of .,Drama|Fantasy|Mystery|Romance|Martial Arts,,4
4769,39305,Gakufu no Rakugakichou,"Short film by Takashi Ohashi, creatively depicting a musical score as it plays out.",Music,,14
4780,39618,Kagaku Manga Survival,Short promotional anime for the learning manga of the same title.,Action|Comedy|Shounen,,11
4782,50406,Yuan Long 3rd Season,Third season of,Action|Adventure|Fantasy,,3
4787,40223,Qing Chi Hong Xiaodou Ba! Wai Zhuan: Mo Xiang Wang,Extra stories of Beanie's Daily.,Comedy|Drama|Slice of Life|Historical,,5
4789,37241,Aware! Meisaku-kun: Human Academy Robot Kyoushitsu,"Collaboration episodes between and , a robot building academy workshop with courses aimed towards pre-school to middle school aged children.",Comedy|Parody|Kids,,20
4794,49208,Heibai Wushuang 3rd Season,Third season of .,Comedy|Supernatural,,4
4797,35310,Kamiusagi Rope & Taka no Tsume Collab Eizou-hen,"A collaboration between , , and TOHO Cinemas.",Comedy,,8
4806,42373,Xiao Hua Xian 5th Season: Si Shi Huayu - Chun Xia,Fifth season of .,Kids,,4
4809,24773,Norasco,Follows an easygoing Scottish Fold's mundane everyday life.,Comedy|Slice of Life,,8
4811,33772,Spy Penguin (ONA),A continuation of the . Spy Penguin revolves around a group of three penguins who protect Paris from those who threaten the peace.,Adventure|Fantasy,,23
4814,34628,Taka no Tsume x Hello Kitty ga Masaka no Collab!,A collaboration between the and franchises.,Comedy,,6
4820,40844,Fantastic World,Animated commercials made by Ryo Hirano to promote his manga getting physical releases.,Adventure|Fantasy|Music,,13
4823,51038,Doupo Cangqiong: Yuanqi,Remake of the first season of .,Action|Adventure|Fantasy|Romance|Martial Arts,,7
4828,42760,Baolie Feiche II: Xing Neng Juexing,Second season of .,Action|Adventure|Cars,,4
4831,33196,Shi Wan Ge Leng Xiaohua Di 3rd Season,Season 3 of .,Comedy|Parody,,4
4832,33601,Menghuan Xiyou 2,A continuation of .,Action|Adventure|Fantasy|Historical,,4
4837,51211,Go! Go! Tokyo MER: Kinkyuujitai to Tatakau Nakama-tachi,The live-action medical drama series got a short anime to commemorate the series' movie announcement. It portrays the characters as animals.,Comedy|Work Life,,21
4843,45616,Wakame Buildings,Abstract short film by Kojirou Shishido featuring seaweed and sea urchins.,Avant Garde|Music,,11
4845,36719,Pastel Kazoku,An animated promotional video for the web manga of the same name.,Comedy,,12
4846,50290,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,Second season of .,Boys Love|Fantasy,,4
4847,50293,Ruguo Lishi Shi Yiqun Miao 6th Season,Sixth season of .,Comedy|Historical|Kids,,4
4848,38624,Tanuki to Kitsune: Dai 5-kan Hatsubai Kinen Animation,"manga's 5th tankoubon goes on sale November 15, 2018. A short animation was released on the franchise's official YouTube channel to commemorate the occasion.",Comedy,,24
4849,49510,"Tantei wa Mou, Shindeiru. Mini Anime",Mini anime series released on YouTube serving as an advertisement for light novel.,Comedy,,13
4855,50404,Xian Wang de Richang Shenghuo 3,Third season of .,Adventure|Comedy|Fantasy|Slice of Life|School,,4
4859,40029,Broadcast by Bibby,"Web series by Densuke28 following the life of fictional personality Bibby. The short clips are posted to the character's Instagram, Twitter, and YouTube channels.",Comedy,,24
4861,36579,Fettu to Ccine to Gummi Seijin,A promotional web anime created for the company Bourbon.,Comedy,,9
4863,50383,VERSEⁿ: Episodeⁿ - Kuusou,Animated promotion for VTuber project VERSEⁿ.,Fantasy,,6
4866,48872,With Pochi! Yoshi's Woolly World Special Anime,A series of stop-motion shorts that came bundled within the Poochy & Yoshi's Woolly World 3DS game.,Comedy|Slice of Life,,17
4868,48374,Fei Ren Zai 4th Season,Fourth season of .,Comedy|Slice of Life|Supernatural,,4
4869,34985,Shinkansen Henkei Robo Shinkalion,'s new transforming train toy line comes with animated promotional videos on the official YouTube page. Featuring shinkansen which transform into Shinkalions who fight a mysterious shakouki-doguu monster.,Mecha|Kids,,28
4872,45614,Drawing!!,Abstract short film by Kojirou Shishido.,Avant Garde|Music,,6
4873,33945,Taka no Tsume x Megane Super,"A collaboration anime between Taka no Tsume and Megane Super, an eyeglasses company in Japan.",Samurai,,15
4874,41595,Tiger & Bunny 2,Second season of .,Action|Comedy|Mystery|Super Power,,4
4878,41081,Dou Hun Wei Zhi Xuan Yue Qiyuan III,Third season of .,Adventure|Fantasy,,4
4882,41477,Man with a Mission The Animation,Short 3DCG anime for Japanese band MAN WITH A MISSION.,Comedy|Music,,10
4893,37906,Gaikan Chiba,Promotional anime for Tokyo Outer Ring Road (GAIKAN).,Drama,,8
4894,47983,Ushigaeru,"A short story depicting a fierce pursuit of a mouse, a dog, and a fully automatic pest control machine.",Action,,19
4900,35575,Nono-chan Theater,Animated shorts focusing on the Yamada family.,Comedy,,7
4904,47819,Ashuai 4th Season,Fourth season of .,Comedy|Slice of Life|School|Kids,,4
4905,36151,Gohan Suki,Based on Seino Tooru's nonfiction gourmet essay manga.,Slice of Life,,8
4907,33858,Kissaten Soudou,A customer and cafe owner get into a fight.,Comedy,,9
4911,22683,Shiroishi no Yousei Pichi,Short promotional videos made for Shiroishi City in Miyagi Prefecture.,Fantasy|Historical|Kids,,10
4912,39659,Chikin Ramen x Gudetama,A collaboration campaign between Nissin's mascot Hiyoko-chan and Sanrio's mascot . Cross over goods will be sold by both companies.,Comedy|Kids,,20
4913,33154,Osiris no Tenbin: Season 2,2nd Season to .,Drama|Supernatural|Suspense,,4
4915,49274,Hua Jianghu: Bu Liang Ren IV,Fourth Season of .,Drama|Fantasy|Romance|Historical|Martial Arts,,4
4921,42885,Zoids Wild Senki,Battle CG anime based on the franchise.,Action|Adventure|Comedy|Sci-Fi|Mecha,,7
4922,34843,Ponkotsu Quest x Monsterz,A collaboration promotion between the anime and the live action horror film (which is a remake of a South Korean film titledHaunters) airing in theaters.,Comedy|Fantasy|Parody,,25
4931,35716,Inferno Cop 2nd Season,Second season of announced by Studio Trigger at AnimeNEXT.,Action|Police,,9
4934,50240,Da Li Si Rizhi 2nd Season,Second season of .,Action|Comedy|Mystery|Demons|Historical|Martial Arts,,4
4935,50294,Ruguo Lishi Shi Yiqun Miao 7th Season,Seventh season of .,Comedy|Historical|Kids,,4
4938,39935,Ultraman Season 2,Second season of .,Action|Sci-Fi|Super Power|Seinen,,4
4949,40793,Bokutachi no Kidzuki-hen,A special short to promote the web app of JRA-VAN TRY for horse races.,Romance,,14
4953,42070,Tian Yu 2nd Season: Cang Gu Zhi Ban,Second season of .,Action|Adventure|Fantasy|Demons,,4
4958,49522,Toutotsu ni Egypt Shin 2nd Season,Second season of web series.,Comedy|Fantasy|Slice of Life,,5
4963,50349,Tamaya CM: Takusareta Omoi-hen,"An animated commercial for Tamaya Pawn Shop Co., Ltd.",Fantasy,,9
4968,33571,Zenryoku Yobikou 5.5 Seminar,A CalorieMate x FROGMAN collaboration in a school setting.,Comedy|Parody|School,,9
4971,38626,JRA x Gudetama,A collaboration with the Japanese Racing Association (JRA).,Sports,,8
4972,43207,Onegai Patron-sama! Episode 0,The encounter between Asahi and Ryouya.,Slice of Life,,6
4973,35140,Heisei Matsue Kaidan: Ayashi,"A Matsue City collaboration anime with . Yoshida book-ends the story as horror tales, both modern and historical, originated within the city are narrated by another person.",Comedy|Horror|Supernatural|Historical|Parody,,27
4976,49599,Ani ni Tsukeru Kusuri wa Nai! 5,Fifth season of .,Comedy|Slice of Life|School,,4
4982,42013,Man with a Mission Animated Short Movie,"A short preview for the web series. The video introduces the story and band members, who are dressed as famous pop culture characters.",Comedy|Music,,23
4985,35309,Levain Cup x Kamiusagi Rope,A collaboration between and J-League's soccer tournament.,Comedy|Slice of Life,,7
4989,33789,Peeping Life x Sanyo,A Peeping Life and Sanyo collaboration made to promote Sanyo's summer ocean themed pachinko line with a Momotarou Densetsu pachinko game machine.,Comedy|Slice of Life,,22
4996,48628,Yuusei Koukou Tenmonbu,Web anime for the mixed media project.,Comedy|Slice of Life|School,,7
5001,38175,Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season,Second season of .,Parody,,4
5002,31667,Ponkotsu Quest: Maou to Haken no Mamono-tachi,"As of 13.03.2019, 60 Episodes have been released.",Comedy|Fantasy|Parody,,8
5009,50794,Yi Shijie Zhongyao Pu 2nd Season,The second season of .,Drama|Fantasy,,5
5012,48543,Shouxi Yu Ling Shi 2,Second season of .,Action|Fantasy,,4
5014,35452,Hamidashi CoroCoro,Studio DLE and CoroCoro Comic have teamed up to create a series of absurd comedy shorts whose characters are based on reader questionnaires.,Comedy|Parody,,23
5017,39197,Karrimor Mountain Club,A series of animated commercials produced by Karrimor Japan to promote their Mountain Club line of hiking rucksacks and explain their various features.,Adventure|Slice of Life,,23
5018,48589,Ryuusatsu no Kyoukotsu,Part of Anime no Tame 2021.,Fantasy,,6
5019,32734,"Satto Anshin, SAT x Peeping Life",SAT (Union Forest Company's Security division) and Peeping Life collaboration.,Comedy|Slice of Life,,10
5021,38932,Oyako wa Tsudzuku yo,Kao Japan is a chemical and cosmetics company. They have commissioned Yoshiharu Satou to create an animated short about parents and adult children to promote their strong deodorizing products.,Slice of Life,,29
5023,51153,Ruguo Lishi Shi Yiqun Miao 5th Season,Fifth season of .,Comedy|Historical|Kids,,4
5026,42447,Menghuan Shuyuan: Youxue Ji,Second season of .,Comedy|Fantasy,,4
5029,42546,Hulaing Babies Aratame - Staying Babies: Chikyuu wo Mamore! Staying Babies with Yuusha Hayami-san,Episode 4.5 of .,Comedy|Slice of Life,,4
5034,50640,Suteki na Okurimono,Christmas-themed indie animation from 2019. It was made by Junya Iwake.,Romance|Supernatural,,11
5040,50297,Ashuai 6th Season,Sixth season of .,Comedy|Slice of Life|School|Kids,,4
5042,50667,Xingchen Bian: Po Tian Mi Ju,Fourth season of .,Action|Adventure|Fantasy|Romance|Martial Arts,,4
5044,33860,Saru Kani Gassen (Yokoku),An adaptation of the classic Japanese folktale albeit a teaser.,Historical,,10
5045,34872,Tapuri Card x Kaijuu Sakaba Kanpai: Kanegon no Shuchou,A collaboration between and Tapuri promoting the Tapuri Card which is a prepaid card for taxi services.,Comedy,,17
5048,51267,Musabi Daibakuhatsu,A short film directed by Keiichirou Watanabe with the Eizou Kenkyuubu.,Action|Martial Arts,,11
5051,37931,I-O Data x Taka no Tsume,"A collaboration between the Eagle Talon franchise and I-O Data (a Japanese computer peripheral manufacturer), primarily promoting the latter's IPv6 products.",Comedy|Parody|Super Power,,21
5052,24977,Kana Kana Kazoku,An original anime series created in cooperation with Kanagawa Prefecture.,Comedy,,10
5056,39023,Qin Shi Ming Yue: Canghai Hengliu,Sixth season of .,Action|Fantasy|Historical|Martial Arts,,4
5058,43288,Tsukiusa. Gekijou,Omake mini anime released after each episode of on the Tsukino Production official YouTube channel.,Comedy,,15
5068,37187,Kuiba Yao Xia Zhuan,The backstories of the characters in the Kuiba movies.,Action|Adventure|Fantasy,,9
5074,50629,Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 2,Part two of the second season of .,Action|Adventure|Mystery|Historical|Martial Arts,,8
5078,33863,Cakes,Sweets having idle chatter.,Comedy,,4
5079,37850,Elleair x Kamiusagi Rope,A collaboration between the facial tissue company and the comedy anime franchise .,Comedy|Slice of Life,,13
5081,47815,Ashuai 2nd Season,Second season of .,Comedy|Slice of Life|School|Kids,,4
5082,50403,Liang Bu Yi 2nd Season,Second season of .,Comedy|Romance|Historical,,4
5085,38058,Oi-san to 40 no Monogatari,"Fourty shorts featuring a delightfully chubby cat named Oi-san. This entry also includes the unnumbered ""はじまり"" (Hajimari) episode that was released the same day as the numbered episode 1.",Slice of Life,,29
5087,33773,Spy Penguin (ONA): White Christmas,A Christmas special side story of the ONA series.,Adventure|Fantasy,,9
5090,49413,Shiguang Dailiren II,Second season of .,Drama|Supernatural,,4
5093,37640,Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?,"A collaboration between and (JCA), promoting safe credit card security behavior.",Comedy,,11
5094,48512,Shichigahama de Mitsuketa,"A short anime with the theme of earthquake disaster and reconstruction released by Shichigahama, a town in Miyagi Prefecture.",Drama|Slice of Life,,19
5095,35453,Tobidase!! Buddy-kun,"Parody shorts of released only on CoroCoro Comic's official YouTube channel. Similar shorts are shown before each episode of , but those are included in that main anime's entry.",Game|Parody,,29
5097,49098,Xi Xing Ji: Suming Pian,The third season of .,Action|Adventure|Fantasy|Historical|Martial Arts,,5
5098,42111,Mouretsu 50 Ototarou,A short web series to celebrate the 50th anniversary of Akatsuka Fujio'sgag manga . The episodes were posted to the official Akatsuka Fujio website and Twitter account.,Comedy|Parody,,27
5099,49572,Quanzhi Fashi VI,Sixth season of .,Action|Fantasy|School,,4
5107,50419,Gudetama: Muhоu Chitai de Jiyuu mo Fujiyuu,Web shorts focusing on the Sanrio character Gudetama.,Comedy|Slice of Life|Parody,,8
5112,39818,Hanahiranime!,"Short picture episodes featuring the cast from the ""Hanahira"" visual novel, spin-off of the ""Sono Hanabira ni Kuchizuke wo"" series.",Comedy|Girls Love|Slice of Life|School,,20
5113,35621,Line Rangers,"follows the Line characters as super heroes who battle enemies. The various ""story movies"" of the web anime are meant to promote the RPG game app.",Fantasy|Game,,26
5115,42158,Wangu Xian Qiong IV: Yin Yue Cheng Pian,Fourth season of .,Action|Adventure|Fantasy,,4
5117,35611,FunaQ: Funassyi to Soutai-kun,A variety talk show done through CGI animation of Funassyi (mascot character of the Tokyo suburb Funabashi) and Soutai-kun (mascot hero/disaster prevention character of the Tokyo ward Nerima).,Slice of Life,,28
5122,37018,Season's Greetings from dwarf,"Shorts celebrating the new 2017 and 2019 year and holidays, released by the animation studio dwarf.",Kids,,16
5124,35311,Kamiusagi Rope x TOHO Cinemas,and collaboration episodes that were released online only.,Comedy|Slice of Life,,8
5125,35308,Lion x Kamiusagi Rope,"A collaboration between and , a toiletry company for their end-of-the-year toothbrush replacement campaign.",Comedy|Slice of Life,,14
5134,49574,Yi Nian Yong Heng: Chuan Cheng Pian,Second season of .,Action|Adventure|Fantasy|Historical|Martial Arts,,4
5135,33986,Elite Banana Banao,A variety of shorts centering around a suave banana. Based on a toy franchise published by the Banpresto gaming company.,Comedy|Slice of Life|Parody,,20
5136,38926,Koeda-chan,A new franchise web anime based on the Takara Tomy toy line. This particular series takes place solely in Koeda-chan's world.,Kids,,21
5138,42147,Jingju Mao Zhi Jiaota Shidi,Fourth season of .,Action|Adventure|Comedy|Fantasy|Kids,,4
5140,41227,Youkoso Boku desu,"The first ""Yokoso Boku desu"" animated short film, featuring four surreal, humorous song performances: ""Fancy Shirts"", ""Antenna Chon-Mage"", ""The Tea Time"", and ""Strange Genius"".",Avant Garde|Comedy|Music,,24
5141,48576,Hachimitsu Suicide Machine,Part of Anime no Tane 2021.,Horror,,6
5146,48810,Battle Spirits: Mirage,Sequel to .,Adventure|Sci-Fi|Demons|Game|Military,,3
5147,47627,Ruguo Lishi Shi Yiqun Miao 3rd Season,Third season of .,Comedy|Historical|Kids,,4
5158,48177,Ichiban Chikakute Tooi Hoshi,A four-minute concept animation that exists within the same world as .,Drama|Music,6.16,12
5159,49123,BanG Dream! Garupa☆Pico Fever!,The third season of the mini series starring the girls of,Comedy|Music,7.98,11
5162,41785,Ze Tian Ji 5th Season,The fifth season of .,Action|Adventure|Fantasy,7.26,5
5163,49398,Wu Geng Ji 4th Season,Fourth season of .,Action|Fantasy|Supernatural|Historical|Martial Arts,7.73,4
5165,49771,Fire Emblem Heroes: Chibi Playhouse,"A short movie that summarizes the events of Book II in an adorable manner, in honor of the in-game event ""Senka no Rensen+: Koori Kami Honoo Kami"".",Comedy|Fantasy|Parody,6.26,27
5166,51218,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,A two-episode animation commemorating the 5th anniversary of 'BanG Dream! Girls Band Party!',Music,8.01,13
5168,39734,Line Novel,The online service where users can publish novels online through the Line app launched on Tuesday. Two animated ads were released simultaneously with the launch.,Slice of Life,6.86,25
5171,37152,Shaonian Jinyiwei 2nd Season,The second season of .,Adventure|Mystery|Romance|Historical|Martial Arts,6.69,5
5174,41296,Valhait Rising: Kandou e.,Studio Colorido's promotional video for BANDAI NAMCO Online's mobile RPG .,Action|Adventure|Fantasy|Game,5.65,11
5175,44097,Huyao Xiao Hongniang: Mu Tiancheng,The tenth season of .,Comedy|Drama|Romance|Supernatural|Historical,7.16,5
5177,41222,Shu,Marie Yasui's graduation film.,Action|Fantasy,6.64,4
5179,42455,Fei Ren Zai 3rd Season,Third season of Fei Ren Zai.,Comedy|Slice of Life|Supernatural,7.27,6
5182,48864,Ndaho Kekkon Omedetou!!,An animation celebrating Fischer's member Ndaho's marriage.,Slice of Life|Music,5.92,7
5183,48824,Blue Archive,Animated promotions for the mobile game Blue Archive.,Fantasy|Game,7.25,8
5186,51083,Douluo Dalu: Feng Qi Tang Men,Twelfth part of .,Action|Adventure|Fantasy|Historical|Martial Arts,8.44,4
5187,40732,Shaonian Ge Xing: Feng Hua Xue Yue Pian Part 1,Part one of the second season of .,Action|Adventure|Mystery|Historical|Martial Arts,7.46,8
5188,48672,Tsugu Tsugumomo Mini Anime,Different chibi shorts to released on the anime's Twitter.  Also included on the DVD/Blu-ray volumes.,Comedy,6.38,15
5189,37294,Wangu Xian Qiong II,Second season of .,Adventure|Comedy|Fantasy,6.95,4
5190,48694,Huyao Xiao Hongniang: Liang Shenghua,The eleventh season of .,Comedy|Drama|Romance|Supernatural|Historical,7.21,5
5193,46735,Chocomatsu-san: Valentine's Day-hen,Original specials aired exclusively on pay-per-view dTV channel.,Comedy|Parody,6.21,8
5195,39222,Move to the Future,A short video about moving in the future by transportation company Art Corporation.,Sci-Fi,5.48,13
5207,48480,Wan Jie Shen Zhu 3rd Season,Third season of .,Adventure|Fantasy,7.24,4
5208,40757,Latina no Nikki,Short specials uploded to the official Twitter in which Latina gives little comments about her life and the people around her.,Slice of Life,6.33,21
5210,39589,Kouya no Kotobuki Hikoutai Gaiden: Oozora no Harukaze Hikoutai,"A short spin-off anime released on ""Kouya no Kotobuki Hikoutai: Oozora no Takeoff Girls!"" game app and YouTube.",Action|Adventure|Military,6.58,18
5213,42317,Cosmos Trailer,Animated trailer for Chronicle's song .,Slice of Life|Music,6.29,6
5217,42950,Wo Jia Da Shixiong Shi Ge Fanpai,Second season of .,Action|Adventure|Comedy|Historical|Martial Arts,7.23,4
5218,14519,Neko Ramen: Ore no Shouyu Aji,The second season of .,Comedy|Gourmet,5.91,5
5220,38456,Megane no Mahou,Chugai Pharmaceutical's promotion anime bringing awareness to rheumatoid arthritis.,Drama,6.27,9
5222,33192,Robot Town Sagami 2028,A promotional anime made with Tezuka Productions and Kanagawa's Industrial Labor Bureau to showcase a future where there is harmony between humans and robots.,Drama,6.2,24
5225,44591,Slime-tachi no Itobata Kaigi,Short specials posted on the official Twitter account.,Comedy|Fantasy,6.07,8
5230,50934,Stars*Collection!,A series of shorts following the eccentric and hilarious daily lives of the Holostars VTubers!,Comedy,7.95,15
5235,50274,Yao Shen Ji 5th Season,Fifth season of .,Action|Adventure|Fantasy|Romance|Demons|Martial Arts,7.6,4
5237,37802,Ongeki,"A promotional anime for , SEGA's new arcade music rhythm game. The arcade game's debut is set for Summer 2018.",Slice of Life,5.07,20
5238,42359,Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Second half of .,Action|Supernatural,7.17,4
5239,37881,Naniiro no Nani,Short anime based on band 's songs and written by the vocalist Ryuuichi Miura. The theme song is also done by .,Slice of Life|Music,5.89,22
5243,49587,Wan Sheng Jie 3,Third season of .,Comedy|Slice of Life|Supernatural|Demons,7.93,4
5247,49592,Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama,Short episodes with super-deformed characters posted on the official Twitter and YouTube account.,Comedy|Fantasy|Slice of Life,6.34,13
5248,49386,Xingchen Bian: Xingchen Yao Hai,Third season of .,Action|Adventure|Fantasy|Romance,7.65,4
5252,43413,Chiyuki no Fashion Check,Another set of short episodes with super-deformed characters posted on the official Twitter account.  Chiyuki talks about the style of a famous person and famous anime characters.,Comedy,5.4,27
5255,29935,Qin Shi Mingyue: Kong Shan Niao Yu,Spin-off episodes of the franchise focusing on Baifeng.,Action|Fantasy|Historical|Martial Arts,7.02,8
5261,44067,Bai Yao Pu 2nd Season,Second season of .,Adventure|Fantasy|Mystery|Supernatural|Historical,7.44,4
5263,44071,Yuan Long 2nd Season,Second season of .,Action|Adventure|Fantasy,7.27,4
5267,42956,Hanhua Riji 2nd Season,Second season .,Comedy|Slice of Life|Supernatural,7.33,3
5269,41210,Wan Jie Shen Zhu 2nd Season,Second season of .,Adventure|Fantasy,7.18,4
5270,47811,Mamono-tachi no Kunou,Chibi shorts to released on the anime's Twitter page.,Comedy,6.27,9
5272,49978,Candy Caries,A promotional video released on the day Wit Studio announced the establishment of a stop-motion studio with Tomoki Misato.,Fantasy,5.54,19
5274,39334,Beyond Creation,"Short animation produced and planned by the Live2D Creative Studio design team, starring Natsumi Fujiwara as the drawing boy Louie, and Haruka Tomatsu as the mysterious girl Epsilon.",Fantasy,6.48,28
5279,39335,The Lamp Man,Short animation produced and planned by the Live2D Creative Studio design team.,Fantasy|Mystery,5.7,12
5288,33366,Toukiden 2,Promotional anime for Koei-Tecmo game by Studio 4°C.,Action|Demons,5.29,8
5290,41634,Puso Ni Comi: Okawari,"A second season of , once again following the in-game avatars of the cast.",Comedy|Game|Parody,6.52,14
5291,49939,Petit Seka,"A mini-anime based off the mobile rhythm game ""Project SEKAI: Colorful Stage.""",Comedy,6.8,12
5293,37684,"Susume, Karolina.",Short anime about professional shogi player Karolina Styczyńska.,Game,6.39,8
5297,34997,Ao no Strada,Promotional anime for Panasonic CN-F1D Strada.,Drama,4.94,6
5302,42949,Shaonu Qianxian: Renxing Xiao Juchang 2,Second season of .,Comedy|Sci-Fi|Military,7.0,4
5311,45574,Holy Knight Light,An animated short for the Arknights smartphone game's 1-year anniversary.,Action|Fantasy,7.25,10
5312,49895,Go! Saitama,The short follows Saitama after he discovers a 1-yen (about US$0.01) sale for high-grade hot-pot meat — but the sale ends at 5:00 p.m. that day.,Comedy|Sci-Fi|Super Power,7.21,26
5315,37185,Ze Tian Ji 3rd Season,The third season of .,Action|Adventure|Fantasy,7.03,5
5317,48791,Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,Second season of .,Comedy|Supernatural,7.85,4
5323,42791,Sakura Kakumei: Hanasaku Otome-tachi,A special anime based on the beginning of iOS/Android RPG by the same name.,Action|Mecha,6.02,14
5324,46119,Mashiro no Oto Mini,Mini anime released on the official Twitter account.,Slice of Life,5.56,8
5326,29936,Qin Shi Ming Yue: Junlin Tianxia,Continues off from where season 4 left off.,Action|Fantasy|Historical|Martial Arts,7.27,8
5329,35684,Project Tokyo Dolls: Episode 0,Anime promotion video series for the smartphone game .,Action|Fantasy,5.49,9
5344,38220,Ze Tian Ji 4th Season,The fourth season of Ze Tian Ji.,Action|Adventure|Fantasy,7.24,7
5355,33193,Shi Wan Ge Leng Xiaohua,"is a parody series that references folktales, classic literature, and modern comics, films, and animation from a variety of countries and regions.",Comedy|Parody,6.24,22
5359,48537,Shi Yi Chang An: Mingyue Jishi You Er,Second season of .,Romance|Historical,7.38,4
