,synopsis,true_genres,predicted_genres
121,"Lamune is an ordinary 4th grade boy who loves playing video games. He buys one from a peddler girl and helps her sell the rest. At home, he plays the game called ""King Sccasher"" & beats it. The peddler girl then comes out of the TV screen and asks for his help, calling him ""The Blood Relative of the Chosen Hero Lamuness"". She is Princess Milk and takes him to Hara-Hara World where his role is to revive the Guardian Knights. To do this, he had to find an unlock the shrine which held Tama-Q, a robot who became Lamuness' Advisor Robot, and key to freeing the Guardian Knights. All of the Knights are free-thinking mechas except for King Sccasher which is piloted by Lamuness. Opposing Lamuness is Don Harumage and his minions Da Cider and Lesuka.","['Adventure', 'Comedy', 'Fantasy', 'Mecha', 'Shounen']","['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']"
122,"Twenty years into the future, a city now called ""Tokyo"" has developed into one of the few world-class high-tech centers, ""Tokyo City."" The main character, Ken Kanzaki, is a young investigator assigned to the criminal investigation section of the Metropolital Police. He is one of the finest sharp shooters in the Police.One day, Ken is ordered to provide security for a party held by for ""Zaizen Konzern,"" a world-class plutocracy.  All of a sudden, spector robots appear and distrupt the party. Zaizen, a commander-in-chief, is killed and both Ken and Jun. Zaizen's son,are fatally injured by the robots. Two of the party's guests, an auto-racer, Ryo Aguri,and a wresler, Go Goda, also receive serious injuries. Three severely injured young men are operated upon by scientists from the Metropolitan Police. Several days later, a robot corp led by a mysterious organization called ""Ido"" appears in the floating-town of the Tokyo Bay. But the Police and the Army have no effective strategies to contain them.  At that moment, three young men attired in mechanical suits enter. They are the very three young men, Ken, Ryo and Go, who have been turned into the cyborg investigators through the operation. They call themselves ""Armored Police Metal Jacks"". ""Metal Jacks,"" dazzlingly switching from ""Jack Suits"" to ""Jack Armors,"" completely demolish the robot corp and achieve victory, thus signals the beginning of the battle between the high-tech criminals and ""Metal Jacks"" with a futuristic ""Tokyo City"" in the background.","['Action', 'Mecha', 'Sci-Fi']","['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
123,"Takeo Watta inherits a company upon his father's death. The company focuses on space travel, and the transformable robot Trider-G7 is their greatest creation. When an evil space organization lead by Lord Zakuron starts attacking Earth, Watta has to use Trider in a more combat-oriented way.","['Comedy', 'Mecha', 'Sci-Fi']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
124,"This is the story of a young couple who struggle with their children.  Miki is the mother of two kids, Hyoga and Jura. Hyoga is a 4-year-old boy and Jura is a 2-year-old girl. Miki writes children's books at home. Miki wants to be a gentle and kind mother, but it is difficult to be patient with the kids. Her husband Gendai tries to be as cooperative as he can and helps her to attend to the kids. But sometimes he only makes her even angrier.","['Comedy', 'Kids', 'Slice of Life']","['Drama', 'Seinen', 'Slice of Life']"
125,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve!  In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World.","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Kids']","['Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']"
126,"In 1931, the Tokugawa Shogunate remains in power, marking the 64th year of the Meiji era. Holding a monopoly over the newly discovered ""Dragon Vein,"" the government is leading Japan toward an advanced Edo period. During this time, an elite force of executioners called ""Nue"" is tasked with defending the Shogunate from a rebel institution known as the ""Kuchinawa.""  As the owner of the Tsuyukasa Bookshop, Sawa Yukimura runs the store's day-to-day business inconspicuously. But behind the scenes, she seeks vengeance against the man who slaughtered her tribe and family. With a special ability to transform granted by her blue blood, Sawa joins Nue after being promised information regarding the target of her revenge: Janome, the leader of the Kuchinawa.","['Action', 'Historical', 'Supernatural']","['Drama', 'Historical', 'Seinen', 'Supernatural']"
127,"Immediately after Ryuuji Takane won the Champion Carnival, the U.S. Junior Champion Black Shaft appeared, and challenged the best Japan has to offer, just before the World Tournament is about to happen. Now Ryuuji, Takeshi Kawai, Kazuki Shinatora, Ishimatsu Katori, and Superstar Jun Kenzaki have to prove to not only Black Shaft, but the world, that they are truly world-class boxers before the World Tournament starts. But Shaft is not recruiting boxers for his challenge, but instead gets a life-timer criminal from Death Row, the leader of the Great Angels, one of the toughest gangs in America, a mysterious woman, and the ""Dark Emperor of the South"". Also, Shaft negotiates with Don Juliano, the Italian Junior Champion, just in case...","['Action', 'Shounen', 'Sports']","['Action', 'Drama', 'Seinen', 'Shounen', 'Sports', 'Super Power']"
128,"The story follows the adventures of rabbit-shaped Jewelpet Ruby, her long-best human friend Airi Kirara and the other Jewelpets on their mission to restore the Jewel Castle, which had fallen from the skies into the middle of the town because of humanity's lack of faith in magic. To restore people's belief in magic, Jewelpets transform into humans to study more about them.","['Comedy', 'Fantasy', 'Shoujo']","['Adventure', 'Comedy', 'Fantasy', 'Kids']"
129,"Against her insistence, Yuuki is drafted by the Tokyo Mets as the first woman player in the baseball league.","['Action', 'Drama', 'Sports']","['Drama', 'Seinen', 'Shounen', 'Sports']"
130,"The journey of Satoshi and his friends through the Kalos region continues! After Satoshi obtains his seventh gym badge, the group is moving toward the next town when Eureka discovers a mysterious Pokemon resting in her pochette. Soon given the name Puni-chan, it is one that even Satoshi and Serena's new Pokemon Zukan cannot identify. However, it quickly becomes apparent that Puni-chan is the target of a mysterious group clad in bright red suits known as Team Flare, aiming to capture the new Pokemon to further their agenda. But when Satoshi and the gang realize that the enigmatic organization has no intention of treating Puni-chan with any decency, they take a stand in opposition to Team Flare's plans, daring to fight back.  With Gojika's predictions looming above them, Satoshi aims for his final gym badge while Serena contests for her last Princess Key in order to be able to compete at the TriPokalon Master Class. But as Team Flare begins to move in search of the mysterious Z, the stories of and cross paths as Satoshi and his friends, along with Team Rocket, get caught up in a scheme that could put Kalos in great danger.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
131,"The Iron League: a place where teams of robots, under individual ""owners"", play various sports and duke it out in tournaments. Mach Windy is a member of Dark Prince, a team that doesn't play fair and fights dirty to win. Unsatisfied with the actions of his teammates, he defects against the will of Dark Prince's nefarious owner and joins Silver Prince: the weakest team in the league. Alongside faithful companions such as Magnum Ace and Bull Armor, Mach Windy and Silver Prince will battle against Dark Prince in games of soccer and baseball, and aim for the top!","['Mecha', 'Sci-Fi', 'Shounen', 'Sports']","['Action', 'Comedy', 'Seinen', 'Shounen', 'Sports', 'Super Power']"
132,"The original is an impressive sports manga featuring not heroes, but common boys, and the story depicts the growth of Sumiya 2 junior high school baseball team (the successive captains and players) in downtown Tokyo. Takao Taniguchi, who was a substitute player of the second team of Aoba Gakuin, a prestigious junior high school in the baseball world, but he transferred to Sumiya 2 and he became the captain of the baseball club. After steady training, the team try to do a final game in the regional preliminaries, against Aoba Gakuin.","['Shounen', 'Sports']","['Comedy', 'School', 'Seinen', 'Shounen', 'Sports']"
133,"Gyagu Manga Biyori is hyperactive, random, and nonsensical, revolving around various plots and characters throughout the series. It makes absolutely no sense. The 1st episode is about stickers included in snacks",['Comedy'],"['Comedy', 'Kids', 'Seinen']"
134,"A year has passed since the Star Force returned to save the Earth but another danger now approaches from deep space. A gigantic White Comet hurtles toward our galaxy, obliterating everything in its path. But it is no ordinary comet—it is the deadly Comet Empire, conqueror of worlds... and Earth is the next target! Against orders, the Star Force blasts off to investigate, but even if they can get past the flagship Andromeda, they don't yet know the true nature of their new enemy!","['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Action', 'Adventure', 'Sci-Fi', 'Shounen']"
135,"Set in the year 2052, Earth has managed to find peace until the arrival of the Death Force - ruthless aliens from a dying solar system - who are desperately searching for a new home. Attacking the Earth with a massive satellite ship called Terror Star, the aliens proceed to terraform the planet to make it their own. For mankind there is one hope: it's up to Colin Collins and a small band of his fellow surviving students to crew a top-secret submersible vessel that can fight the invaders at sea or in space.","['Action', 'Drama', 'Sci-Fi']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Seinen']"
136,"A boy named Nello becomes an orphan at the age of two when his mother dies.His grandfather, who lives in a small village takes him in. One day, Nello finds a dog who was almost beaten to death and named him Patrasche. Due to the good care of his grandfather, the dog recovers, and from then on, Nello and Patrasche are inseparable. Since they are very poor, Nello has to help his grandfather by selling milk. Patrasche helps him pull the milk cart that Nello uses to sell milk in the town.","['Drama', 'Historical']","['Drama', 'Historical', 'Kids', 'Seinen', 'Slice of Life']"
137,"The series focuses on a professional boxer who chooses to become a manga artist after sustaining an injury. The man takes in two cats: Kuro, who is very timid, and her younger sister Chin.","['Seinen', 'Slice of Life']","['Comedy', 'Seinen', 'Shounen', 'Sports']"
138,"The year is 1999. Amamori Hajime is just a normal, everyday elementary school student, trying to study and hanging out with his crazy pals. But then one day as his father is testing a piece of equipment he has been working on, something causes it to blow up, taking the house with it! Now orphaned, Hajime is taken in by his uncle, who is an astronomer. There at his uncle's observatory, he meets a girl he's seen before and developed somewhat of a crush on. He finds out her name is Yukino Yayoi, and her parents run a ramen shop in town. But even better than that, she's his uncle's assistant! What luck!  But Yayoi isn't exactly what she seems. There is a reason she helps out Amamori-san at the observatory. She is the Millennial Queen (Sen-Nen Joou), specially chosen by her home planet, LaMetal, to go to Earth and help prepare for the possible annihilation of the planet. What will cause this disaster? LaMetal has an extremely elliptical orbit, which sends it very, very near Earth every 1000 years. When it gets close enough, the earth reacts, causing all sorts of natural disasters. Although she was chosen with the idea of protecting LaMetal in mind, her personal plan is to evacuate as many humans as she can to LaMetal, so if their planet is destroyed, they will survive.  However, there is one person who strives to stop her plan, the head of the Millennial Theives. Why does he want to stop Yayoi? And how does he know about the Millennial Queen, anyway?","['Drama', 'Mystery', 'Sci-Fi']","['Drama', 'Romance', 'Seinen']"
139,"The Garadain Empire has exhausted the primary resources of their native planet, so they send different space expeditions to find a new world where to live. One of their main objectives is planet Earth. However, Zeku Alba, an alien scientist, decides to rebel against the imperial rule and flees towards the Earth, where he gathers a group of youngs gifted with the power of ""psychogenesis"", an ability that consists in creating solid matter from mental energy.  The most gifted of the squadron is Isamu, a young orphan whose family was killed in the first attack of the Garadain Empire. He is able to generate the powerful robot Govarian, an armor with which he can battle the alien monsters and is able to regenerate thanks to the psychic energy of the pilot. Helped by two other robots created by his team-mates, Isamu, aboard the robot Govarian, defends the Earth in the long war against the alien invaders.","['Action', 'Mecha', 'Sci-Fi', 'Super Power']","['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
140,"The ride in Space-Time Transmitting Machine Kirinda to repair the Novel Worlds of Mugen. The themselves are anthropomorphic animals, each representing one of the 12 Chinese zodiac animals (and The Twelve Branches in Buddhism). In Japan they are known as the Eto animals. The Novel Worlds are stories created by the human imagination, such as old folk tales as well as newer books. These living worlds play out repeatedly, and are necessary for the good of humanity. Princess Aura rules Mugen, which is an island continent hanging over an ocean from the skybound Novel Pole. The Great God Goal gives her power, but she may never leave the small palace island area. Their nemesis is the forgotten Spirit of Cats, Nyanma (real name, Chocolat), who was excluded from the choice of 12 protectors by being disqualified from the race (in actual legend there are many versions of this story). She seeks her revenge by distorting Novel Worlds with Jarei Monsters.  When a Jarei Monster goes to a Novel World they alter the story, turning it into a different version, sometimes a parody of itself. Bakumaru, the Spirit of Mice, must use the Genmakyou mirror to reveal (""Jarei Shouran!"") the evil spirit once enough clues lead to its identity. Often the Eto Rangers must play out some of the story to find out who or what it is, sometimes even taking on the role of one of the characters in the tale. After defeating the creature, Kirinda is called when Bakumaru holds up his hand with one of Aura's 12 gems on it and calls out ""Daikourin Kirinda!"" Kirinda descends from a dimensional slit and purifies the evil spirit with a beam weapon, calling out ""Jouka!"" (Purification).","['Action', 'Comedy', 'Fantasy']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
141,"Nanako is a young girl who unexpectedly acquires supernatural powers and at the same time loses her past memory. By accident, a scientific genius called Marlow, is present when she acquires her powers. Marlow is an industrious high school boy with extraordinary ambitions. He talks to Nanako into joining his detective agency by promising to help her regain her memory. Nanako innocently believes him, but Marlow's real intent is to use her powers to benefit his agency and himself.  The story unfolds as Nanako encounters a variety of dangerous missions and mysterious events, but her natural sunny disposition helps her through all the incidents as she solves each mystery one after the other.","['Comedy', 'Romance', 'Super Power']","['Comedy', 'Drama', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']"
142,"Yuuko is a shy middle school girl who has feelings for her childhood friend, the boy next door. When she finds out that her best friend also likes him, she is unsure what to do. The story explores the relationships between these three characters as they confront everyday junior high problems.","['Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']","['Comedy', 'Drama', 'Romance', 'School', 'Seinen', 'Slice of Life']"
143,"Jarinko Chie is a movie directed by Takahata in 1981. Based on the very popular manga by Etsumi HARUKI, it is about ten year old Chie, ""the most unfortunate girl in Japan,"" who manages her family diner while her unemployed yakuza father and her mother are separated. This sounds really depressing, but it's actually a very funny comedy.  The story is set in Osaka, which has a totally different culture from Tokyo. After the success of the movie, a TV series was made, and Takahata worked as the chief director.","['Comedy', 'Drama', 'Seinen', 'Slice of Life']","['Comedy', 'Drama', 'Seinen', 'Slice of Life']"
144,Sequel to the Urayasu Tekkin Kazoku anime and adaptation of the manga of the same name. The series follows an energetic grade-schooler and his friends as they get into mischief.,"['Comedy', 'Shounen']","['Comedy', 'Kids', 'Seinen', 'Shounen']"
145,"Sent to a strange world, a young boy must team up with monsters, becoming one with them to battle evil.","['Action', 'Adventure', 'Sci-Fi', 'Shounen']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids', 'Shounen', 'Super Power']"
146,"On a school yachting trip, fifteen children of various ages are mysteriously transported to another world where dinosaurs still roam. While attempting to return home, they encounter talking dinosaurs, revolutionaries, pirates, a princess and primitive scientists. These unlikely allies help them escape from soldiers, bandits, vicious dinosaurs, and fanatical priests. Aggression between the two oldest boys leads to a split in ranks, and a sneaky double cross plot. Unlikely romances bloom in this tense atmosphere, and the group learns that each has strengths that can help them get home, if they work together. Losely based on the book , by Jules Verne from 1888.","['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","['Adventure', 'Fantasy', 'Kids']"
147,"Sasuke is the son of a very skilled ninja, whose name is Ozaru. After the defeat of their lord, Yukimura Sanada, Tokugawa's and Hattori's ninjas begin to persecute all their enemies still alive: that means Ozaru and Sasuke must leave their house and start a violent struggle for their own life. Danger, vengeance, anger, loyalty, pain are the basic elements of this story, where the worst aspects of the human soul are described together with the growth of the main character, the young Sasuke.","['Action', 'Historical', 'Shounen']","['Action', 'Adventure', 'Comedy', 'Historical', 'Seinen', 'Shounen', 'Super Power']"
148,"Set in the twenty-third century, relates the adventures of Rob Simmons, a scientist, and his robots (called Orbots)—Tur, Bort, Beau, Crunch, and Ono—all members of the Galactic Patrol, the Earth-based futuristic police force. The focal point of the program is their battle against Shadow, a sinister planet of evil whose leader, Umbra, seeks to control the universe.","['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']","['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
149,"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince.","['Adventure', 'Comedy', 'Drama', 'Sci-Fi']","['Adventure', 'Comedy', 'Fantasy', 'Kids']"
150,"Second season in the anime series.  The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.","['Adventure', 'Comedy', 'Kids', 'Mystery']","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Seinen', 'Shounen', 'Super Power']"
151,"In the mountains of India, a man named Takeshi Yamato gains the abilities of the legendary Rainbow Warrior, allowing him to transform into Rainbowman. With this power, he has to stop aliens from invading the earth.","['Action', 'Adventure', 'Mecha', 'Sci-Fi']","['Adventure', 'Kids', 'Shounen']"
152,"Meg, faithful and gentle, Jo, independent and energetic, Beth, quiet and shy, Amy, amiable and precocious–the four sisters live vigorously and happily at home with their gentle mother while waiting for their father to return from the Civil War. Helping each other, they challenge their fates and grow up to become wonderful women.","['Drama', 'Historical', 'Slice of Life']","['Drama', 'Seinen', 'Slice of Life']"
153,"Sentimental Journey is a collection of twelve short stories about twelve different girls. Though unrelated, there is one common theme that binds the episodes together: each girl's bittersweet experience of first love.","['Drama', 'Romance']","['Drama', 'Romance', 'Seinen', 'Slice of Life']"
154,"A flash anime featuring Airuu, the helper cats in the original Monster Hunter game.","['Action', 'Comedy']","['Comedy', 'Fantasy', 'Kids']"
155,"Amika is a elementary school student who dreams of becoming an idol. Her grandmother is a harsh yet wealthy woman who lives on a remote island that she owns. When her grandmother passed away, Amika's life begins to appear subtle changes. Not long after the passing of her grandmother, Amika's mother gave birth to a baby girl. Ironically, Amika's little sister looks and behaves exactly like her grandmother.","['Comedy', 'Drama']","['Comedy', 'Drama', 'Seinen', 'Slice of Life']"
156,"Set in a far flung medieval-looking world of Arst, Prince Jordy Volder takes up the fight against the ambitions of the conqueror Marder. Jordy uses the legendary giant robot ""panzer"" Galient, which is one of many panzers that have been preserved underground for thousands of years. Using an army of advanced robot panzers, Marder is conquering all of Arst in preparation of his plan for dominance of the Crescent Galaxy.","['Action', 'Fantasy', 'Mecha', 'Sci-Fi']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']"
157,"The story is about 16 years old boy Takeshi who recently formed an American football team at the BlueSky orphanage. One day the game is interuppted by a light in the sky. Takeshi discovers he is the son of the king of the planet Apolon, spirited away to Earth by his father's retainer Rabi to avoid death at the hands of General Dazaan. He turns out to have special energy abilities which can control UFO saucers from under the ocean floor, which in turn can become robots that are synchronized to their movements.","['Action', 'Mecha', 'Sci-Fi']","['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Super Power']"
158,"Born into a new world after a life of stagnancy, Will awakens to the faces of a skeleton, a ghost, and a mummy. Living in the ruins of a city long fallen, the three raise Will as their own. The skeleton— Blood—teaches him to fight; the ghost—Gus—teaches him magic; and the mummy—Mary—teaches him religion and responsibility. Most importantly, they all teach him love.  As Will grows up and learns about the world he was born into, he prepares for the day when he must finally set out on his own. For Will, this journey includes a lifelong promise. At their coming-of-age, every adult is required to swear an oath to the god of their choice, with the strength of the pledge affecting the degree of their sworn god's blessing.  With his departure approaching, Will must prepare to accept the truth of his undead guardians and embark into a world that even they don't know the state of. Will discovers, however, that every oath must be fulfilled, one way or another.","['Action', 'Adventure', 'Fantasy']","['Adventure', 'Drama', 'Fantasy', 'Supernatural']"
159,Kiko-chan's Smile is an anime and manga series about a kindergarten student who has many of the features of a child prodigy but at the same time has many bizarre habits and an odd personailty.,"['Adventure', 'Comedy', 'Slice of Life']","['Comedy', 'Seinen', 'Slice of Life']"
160,"The series focuses on the main heroine Chiari Tsukikage and her friends on managing the Jewelpet Cafe. One day at the magical world of Jewel Land, Lady Jewelina entrusted Ruby the Magical Jewel Box with a mission to make friends and collect Magic Jewels. At the same time she needs to attend the Jewel Academy to do so and open a shop called the Jewelpet Cafe. However with her friends, things didn't go well as planned with several failed mishaps happened to her and the students being scared, in the point of Ruby giving up. But when she met a young girl named Chiari Tsukikage and decides to help, Ruby's life is about to change forever. Now, she and her friends now must work together for the cafe to prosper, stick together through good and bad luck as well as protecting the Jewel Box from being stolen.","['Fantasy', 'Shoujo']","['Comedy', 'Romance', 'School', 'Seinen', 'Shoujo', 'Slice of Life']"
161,A dispute between young band members and an unfortunate choice of melody inadverdently draws them all into the demonic horror known asthe desert-god Gandalla.,"['Adventure', 'Drama', 'Fantasy', 'Music', 'Sci-Fi', 'Supernatural']","['Fantasy', 'Music', 'Seinen']"
162,"Produced by Toei Animation and directed by Kazumi Fukushima after the manga series by Muroyama Mayumi, this anime follows Asari, a normal fourth-grade girl. One day, while bargain shopping, she wins the lucky ticket at a lottery for a one-person trip to Hawaii. Chaos reigns as her family, the Beach's, fight over who should go. The ticket is lost in a bonfire, ironically. Other circumstances follow when the family finds out that the travel agency offered to ""give the equal amount of half the travel expenses in cash for the ticket"" from an employee of the supermarket Asahi had shopped at. What will happen to the unlucky Beach family as more elements of despair pelt them?","['Comedy', 'Shoujo', 'Slice of Life']","['Comedy', 'Seinen']"
163,"Two baby girls were born in the same hospital: one of them is the daughter of an aristocratic family while the other belongs to a deprived household which lives in the slums of the city. However, the nurse-in-charge, Michiko, secretly switches the two babies due to a personal grudge, resulting in a change of fates of the girls from then on. Many years later, the lives of the two girls continue to be intertwined with each other, with the rich Miki ill-treating the poor Nozomi, yet both of them hold similar dreams to become a singer.","['Drama', 'Music']","['Drama', 'Romance', 'Seinen', 'Slice of Life']"
164,"Mechadock is a powerful race car obtained from a simple economy car, which is able to race on any ground.","['Action', 'Comedy', 'Sports']","['Seinen', 'Shounen', 'Sports', 'Super Power']"
165,"Shu is from Datania, a country that makes young children work. He and his friends were trying to escape when they met the Returners. The Returners are some kind of rebels to Datania. Shu goes with the Returners to fight Zero, Nines, and his men who are after DT, a special substance inside humans.","['Action', 'Sci-Fi', 'Shounen']","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']"
166,Summarized version of the 50-episode TV series. Includes all the highlights.,"['Adventure', 'Drama', 'Fantasy', 'Historical', 'Slice of Life']","['Comedy', 'Seinen', 'Shounen']"
167,"Dome Shinjo, a 10-year-old boy who is son of a deceased legendary player of the Yomiuri Giants. From his father he inherited the love for baseball and his great abilities for such sport, although his mother and his older sister try to avoid that he practices it. In fact, his father, before dying, had time to teach him a magical shoot. Dome, after his mother gave him the glove his father used, he makes that shot in a training session of the Giants and is contracted immediately. With the support of the veteran players of the team, this young player will, from this very moment, make the Giants become unbeatable at home and none of the main batters of the Japanese professional league manages to end with his magical shot. Although that does not apply to the games played away, as Dome is just allowed to play at home, in the Tokyo Dome in which his father was consacrated (and the place by which he did chose such name for his son). When the veteran captain of the Dragons manages to bat his shot, it seems that the young boy is finally and definitely defeated, but then he invents another magical shot. New rivals, but also friends (such as Melody Norman, an American girl who disguises herself as a boy because women can't play baseball), will appear in scene, until the arrival of the mysterious Don Carlos, a Spanish ex-bullfighter who plays for the Hiroshima Toyo Carp and seems to have something pending with his father. Will Dome succeed in giving the league to the Giants?",['Sports'],"['Drama', 'Seinen', 'Shounen', 'Sports']"
168,"A sea otter and his friends, a raccoon and squirrel, live and play together in the forest.",['Comedy'],['Kids']
169,"In the year 2545, an experiment gone wrong puts test pilot David Jance through the center of the galaxy and into another universe, which ends up in the middle of life and death struggle against the armies of GRIP, led by Dark Star.","['Action', 'Mecha', 'Sci-Fi']","['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Super Power']"
170,"After a slumber of 12 millennia, the Demon Empire returns to seize control of the Earth. Reideen, the giant robot-like protector of the lost continent of Mu, senses the evil presence and awakens within its golden pyramid, revealing to young Japanese boy Akira Hibiki that he is the one descendant of the ancient Mu people who must help Reideen save Earth.  He was assisted by his friends, token girl Mari Sakurano (daughter of a scientist fighting the Demon Empire) and several members of his high school soccer team.","['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","['Action', 'Comedy', 'Mecha', 'Sci-Fi', 'Seinen', 'Shounen', 'Sports', 'Super Power']"
171,"After escaping a bus hijacking with the help of masked superhero Strange Juice, Yuuta Iridatsu finds his soul separated from his body and in the care of a perverse cat spirit, Chiranosuke. As a spirit, Yuuta wanders around his residence, the Korai House, aiming to regain his body and observe the other residents: Meika Daihatsu, a genius inventor; Mikatan Narugino, a cheerful idol; Ito Hikiotani, a shut-in NEET; and Rabura Chichibu, a spiritual medium. After catching a glimpse of Narugino's undergarments, Chiranosuke reveals to Yuuta that he becomes exponentially stronger upon seeing panties. However, if he sees another pair while he is still a spirit, his power will cause an asteroid to crash into the earth, ending the world and killing his friends.   follows Yuuta as he unravels the mysteries surrounding Korai House, its residents, and a villainous organization attempting to end the world. Will Yuuta be able to save everyone, or will the ever-present threat of panties result in their doom?","['Comedy', 'Sci-Fi', 'Super Power', 'Supernatural']","['Comedy', 'Seinen', 'Shounen', 'Super Power', 'Supernatural']"
172,"Due to a tragic accident, Banri Tada is struck with amnesia, dissolving the memories of his hometown and past. However, after befriending Mitsuo Yanagisawa, he decides to move on and begin a new life at law school in Tokyo. But just as he is beginning to adjust to his college life, the beautiful Kouko Kaga dramatically barges into Banri's life, and their chance meeting marks the beginning of an unforgettable year.  After having a glimpse of college life, Banri learns that he is in a new place and a new world—a place where he can be reborn, have new friends, fall in love, make mistakes, and grow. And as he begins to discover who he was, the path he has chosen leads him towards a blindingly bright life that he will never want to forget.","['Comedy', 'Drama', 'Romance']","['Drama', 'Romance', 'Seinen']"
173,"In the distant future, humanity has explored beyond Earth and colonized both the inner and outer planets of the Solar System. In order to protect the colonies and maintain law and order in the solar system, the Earth Federation Government (EFG) was created. Soon, many settlers started to resent the EFG's and its sphere of influence, straining the relationship between the central government and the colonies.  While a strained peace was being forged between Earth and the colonies, a race of non-human creatures known as Deathcula invaded the System. Without provocation, they attacked the colonies and killed many of the colonists. The EFG quickly realized that the Deathcula were technologically superior and their forces were hopelessly matched. In order to have a chance at survival, Dr. Charles Louvre developed a transformable starship known as the Bismarck.  Knowing that an advanced team of specialists were required to operate the Bismarck, four individuals came together and were charged with keeping the outer colonies safe from further Deathcula attacks.","['Action', 'Adventure', 'Mecha', 'Sci-Fi']","['Action', 'Drama', 'Mecha', 'Sci-Fi']"
174,"Q-taro, a monster, is living with the Ohara family. He can fly and make his body transparent, but he cannot turn his body into other things like other monsters do. He is a scattered mind, and he always makes mistakes and causes trouble.","['Comedy', 'School', 'Slice of Life', 'Supernatural']","['Comedy', 'Shounen']"
175,"Young Sanshiro Kurenai is the proud heir of a judo dojo. One day, he finds his beloved father dead and a glass eye not too far from the corpse. Ready to avenge his father and take his honour back, Sanshiro and his friend Ken start searching for the mysterious one-eyed murderer...","['Action', 'Sports']","['Action', 'Drama', 'Seinen', 'Shounen', 'Super Power']"
